County,2007
Florida,14.9
Alachua,16.4
Baker,18.3
Bay,19.2
Bradford,9.5
Brevard,17.8
Broward,12.6
Calhoun,19.5
Charlotte,16.4
Citrus,11.4
Clay,18.8
Collier,6.2
Columbia,15.5
DeSoto,11.4
Dixie,27.7
Duval,19.5
Escambia,16.3
Flagler,13.9
Franklin,13.1
Gadsden,21.4
Gilchrist,13.7
Glades,23.7
Gulf,17.4
Hamilton,18.7
Hardee,10.2
Hendry,14.3
Hernando,12.5
Highlands,14.7
Hillsborough,15
Holmes,24.4
Indian River,12.4
Jackson,23.2
Jefferson,22.5
Lafayette,6.4
Lake,17.5
Lee,17.3
Leon,6.4
Levy,16.2
Liberty,16.9
Madison,20.3
Manatee,13.6
Marion,16
Martin,18.3
Miami-Dade,16.2
Monroe,18
Nassau,16.6
Okaloosa,9.6
Okeechobee,12.1
Orange,16.4
Osceola,15.1
Palm Beach,9.1
Pasco,15.4
Pinellas,17.7
Polk,17.9
Putnam,15.1
Santa Rosa,17.9
Sarasota,15.6
Seminole,13.4
St. Johns,11.2
St. Lucie,19.7
Sumter,14.2
Suwannee,16.6
Taylor,17.5
Union,16.7
Volusia,13.2
Wakulla,14.5
Walton,23
Washington,21.9
